Country,Year,Type,Points,Place,Draw,Performer,Song
Slovakia,1994,,15,19 (25),15,Martin Durinda and Tublatanka,Nekovecná Piesen
Slovakia,1996,,19,18 (23),22,Marcel Palonder,Kým Nás Máš
Slovakia,1998,,8,21 (25),6,Katarína Hasprová,Modlitba
Slovenia,1993,,9,22 (25),16,1X Band,Tih Dezeven Dan
Slovenia,1995,,84,7 (23),20,Darja Svajger,Prisluhni Mi
Slovenia,1996,,16,21 (23),14,Regina,Dan najlepših sanj
Slovenia,1997,,60,10 (25),6,Tanja Ribic,Zbudi Se
Slovenia,1998,,17,18 (25),12,Vili Resnik,Naj Bogovi Slišijo
Slovenia,1999,,50,11 (23),6,Darja Svajger,For A Thousand Years
Slovenia,2001,,70,7 (23),17,Nuša Derenda,Energy
Slovenia,2002,,33,13 (24),22,Sestre,Samo Ljubezen
Slovenia,2003,,7,23 (26),26,Karmen,Nanana
Slovenia,2007,F,66,15 (24),7,Alenka Gotar,Cvet Z Juga
Slovenia,2011,F,96,13 (25),20,Maja Keuc,No One
Slovenia,2014,F,9,25 (26),17,Tinkara Kova?,Round and round
Slovenia,2015,F,39,14 (27),1,Maraaya,Here For You
Slovenia,2018,F,64,22 (26),3,Lea Sirk,"Hvala, ne!"
Slovenia,2019,F,105,15 (26),10,Zala Kralj & Gašper Šantl,Sebi
Spain,1961,,8,9 (16),1,Conchita Bautista,Estando Contigo
Spain,1962,,0,13 (16),3,Victor Balaguer,Llámame
Spain,1963,,2,12 (16),12,José Guardiola,Algo Prodigioso
Spain,1964,,1,12 (16),16,"Tim, Nelly and Tony",Caracola
Spain,1965,,0,15 (18),3,Conchita Bautista,"Qué Bueno, Qué Bueno"
Spain,1966,,9,7 (18),11,Raphael,Yo Soy Aquél
Spain,1967,,9,6 (17),12,Raphael,Hablemos Del Amor
Spain,1968,,29,1 (17),15,Massiel,"La, La, La..."
Spain,1969,,18,1 (16),3,Salomé,Vivo Cantando
Spain,1970,,8,4 (12),9,Julio Iglesias,Gwendolyne
Spain,1971,,116,2 (18),6,Karina,En Un Mundo Nuevo
Spain,1972,,83,10 (18),4,Jaime Morey,Amanece
Spain,1973,,125,2 (17),7,Mocedades,Eres Tú
Spain,1974,,10,9 (17),3,Peret,Canta Y Se Feliz
Spain,1975,,53,10 (19),17,Sergio y Estíbaliz,Tú Volverás
Spain,1976,,11,16 (18),12,Braulio,Sobran Las Palabras
Spain,1977,,52,9 (18),14,Micky,Enseñame A Cantar
Spain,1978,,65,9 (20),7,José Vélez,Bailemos Un Vals
Spain,1979,,116,2 (19),19,Betty Missiego,Su Canción
Spain,1980,,38,12 (19),18,Trigo Limpio,Qué Date Esta Noche
Spain,1981,,38,14 (20),10,Bacchelli,Y Solo Tú
Spain,1982,,52,10 (18),12,Lucía,Él
Spain,1983,,0,19 (20),7,Remedios Amaya,¿quién Maneja Mi Barca?
Spain,1984,,106,3 (19),4,Bravo,"Lady, Lady"
Spain,1985,,36,14 (19),5,Paloma San Basilio,La Fiesta Terminó
Spain,1986,,51,10 (20),9,Cadillac,Valentino
Spain,1987,,10,19 (22),9,Patricia Kraus,No Estás Solo
Spain,1988,,58,11 (21),6,La Década,La Chica Que Yo Quiero (made In Spain)
Spain,1989,,88,6 (22),16,Nina,Nacida Para Amar
Spain,1990,,96,5 (22),1,Azúcar Moreno,Bandido
Spain,1991,,119,4 (22),19,Sergio Dalma,Bailar Pegados
Spain,1992,,37,14 (23),1,Serafin,Todo Esto Es La Música
Spain,1993,,58,11 (25),22,Eva Santamaria,Hombres
Spain,1994,,17,18 (25),21,Alejandro Abad,Ella No Es Ella
Spain,1995,,119,2 (23),9,Anabel Conde,Vuelve Conmigo
Spain,1996,,17,20 (23),3,Antonio Carbonell,"¡ay, Qué Deseo!"
Spain,1997,,96,6 (25),10,Marcos Llunas,Sin Rencor
Spain,1998,,21,16 (25),4,Mikel Herzog,¿Qué Voy A Hacer Sin Ti?
Spain,1999,,1,23 (23),3,Lydia,No Quiero Escuchar
Spain,2000,,18,18 (24),13,Serafín Zubiri,Colgado De Un Sueño
Spain,2001,,76,6 (23),13,David Civera,Dile Que La Quiero
Spain,2002,,81,7 (24),5,Rosa,Europe's Living A Celebration
Spain,2003,,81,8 (26),12,Beth,Dime
Spain,2004,F,87,10 (24),1,Ramón,Para Llenarme De Ti
Spain,2005,F,28,21 (24),10,Son de sol,Brujería
Spain,2006,F,18,21 (24),6,Las Ketchup,Bloody Mary
Spain,2007,F,43,20 (24),2,NASH,I Love You Mi Vida
Spain,2008,F,55,16 (25),22,Rodolfo Chikilicuatre,Baila El Chiki Chiki
Spain,2009,F,23,23 (25),25,Soraya,La Noche Es Para Mí (The Night Is For Me)
Spain,2010,F,68,15 (25),2,Daniel Diges,Algo Pequeñito
Spain,2011,F,50,23 (25),22,Lucía Pérez,Que Me Quiten Lo Bailao - They Can't Take The Fun Away From Me
Spain,2012,F,97,10 (26),19,Pastora Soler,Quédate Conmigo (Stay With Me)
Spain,2013,F,8,25 (26),5,ESDM,Contigo Hasta El Final (With You Until The End)
Spain,2014,F,74,10 (26),19,Ruth Lorenzo,Dancing in the rain
Spain,2015,F,15,21 (27),21,Edurne,Amanecer
Spain,2016,F,77,22 (26),19,Barei,Say Yay!
Spain,2017,F,5,26 (26),16,Manel Navarro,Do It For Your Lover
Spain,2018,F,61,23 (26),2,Amaia y Alfred,Tu Canción
Spain,2019,F,54,22 (26),26,Miki,La Venda
Spain,2021,F,6,24 (26),13,Blas Cantó,Voy A Quedarme
Spain,2022,F,459,3 (25),10,Chanel,SloMo
Sweden,1958,,10,4 (10),5,Alice Babs,Lilla Stjärna
Sweden,1959,,4,9 (11),7,Brita Borg,Augustin
Sweden,1960,,4,10 (13),2,Siw Malmkvist,Alla Andra Får Varann
Sweden,1961,,2,14 (16),7,Lill-Babs,"April, April"
Sweden,1962,,4,7 (16),6,Inger Berggren,Sol Och Vår
Sweden,1963,,0,13 (16),13,Monica Zetterlund,En Gång I Stockholm
Sweden,1965,,6,10 (18),10,Ingvar Wixell,Absent Friend
Sweden,1966,,16,2 (18),10,Lill Lindfors and Svante Thuresson,Nygammal Vals Eller Hip Man Svinaherde
Sweden,1967,,7,8 (17),7,Östen Warnebring,Som En Dröm
Sweden,1968,,15,5 (17),8,Claes-Göran Hederström,"Det Börjar Verka Kärlek, Banne Mej"
Sweden,1969,,8,9 (16),9,Tommy Körberg,"Judy, Min Vän"
Sweden,1971,,85,6 (18),12,Family Four,Vita Vidder
Sweden,1972,,75,13 (18),14,Family Four,Härliga Sommardag
Sweden,1973,,94,5 (17),12,The Nova and The Dolls,You're Summer
Sweden,1974,,24,1 (17),8,ABBA,Waterloo
Sweden,1975,,72,8 (19),18,Lars Berghagen and the Dolls,"Jennie, Jennie"
Sweden,1977,,2,18 (18),13,Forbes,Beatles
Sweden,1978,,26,14 (20),20,Björn Skifs,Det Blir Alltid Värre Framåt Natten
Sweden,1979,,8,17 (19),15,Ted Gärdestad,Satellit
Sweden,1980,,47,10 (19),8,Tomas Ledin,Just Nu!
Sweden,1981,,50,10 (20),20,Björn Skifs,Fångad I En Dröm
Sweden,1982,,67,8 (18),9,Chips,Dag Efter Dag
Sweden,1983,,126,3 (20),4,Carola Häggkvist,Främling
Sweden,1984,,145,1 (19),1,Herrey's,Diggi-loo Diggy-ley
Sweden,1985,,103,3 (19),16,Kikki Danielsson,Bra Vibrationer
Sweden,1986,,78,5 (20),17,Lasse Holm and Monica Törnell,E' De' Det Här Du Kallar Kärlek
Sweden,1987,,50,12 (22),6,Lotta Engberg,Boogaloo
Sweden,1988,,52,12 (21),2,Tommy Körberg,Stad I Ljus
Sweden,1989,,110,4 (22),10,Tommy Nilsson,En Dag
Sweden,1990,,24,16 (22),18,Edin-Ådahl,Som En Vind
Sweden,1991,,146,1 (22),8,Carola,Fångad Av En Stormvind
Sweden,1992,,9,22 (23),7,Christer Björkmann,I Morgon är En Annan Dag
Sweden,1993,,89,7 (25),13,Arvingarna,Eloïse
Sweden,1994,,48,13 (25),1,Marie Bergman and Roger Pontare,Stjärnorna
Sweden,1995,,100,3 (23),18,Jan Johansen,Se På Mej
Sweden,1996,,100,3 (23),23,One More Time,Den Vilda
Sweden,1997,,36,14 (25),16,Blond,Bara Hon älskar Mig
Sweden,1998,,53,10 (25),19,Jill Johnson,Kärleken är
Sweden,1999,,163,1 (23),15,Charlotte Nilsson,Take Me To Your Heaven
Sweden,2000,,88,7 (24),18,Roger Pontare,When Spirits Are Calling My Name
Sweden,2001,,100,5 (23),7,Friends,Listen To Your Heartbeat
Sweden,2002,,72,8 (24),12,Afro-dite,Never Let It Go
Sweden,2003,,107,5 (26),25,Fame,Give Me Your Love
Sweden,2004,F,170,5 (24),24,Lena Philipsson,It Hurts
Sweden,2005,F,30,19 (24),14,Martin Stenmarck,Las Vegas
Sweden,2006,F,170,5 (24),22,Carola,Invincible
Sweden,2007,F,51,18 (24),12,The Ark,The Worrying Kind
Sweden,2008,F,47,18 (25),15,Charlotte Perrelli,Hero
Sweden,2009,F,33,21 (25),4,Malena Ernman,La Voix
Sweden,2011,F,185,3 (25),7,Eric Saade,Popular
Sweden,2012,F,372,1 (26),17,Loreen,Euphoria
Sweden,2013,F,62,14 (26),16,Robin Stjernberg,You
Sweden,2014,F,218,3 (26),13,Sanna Nielsen,Undo
Sweden,2015,F,365,1 (27),10,Måns Zelmerlöw,Heroes
Sweden,2016,F,261,5 (26),9,Frans,If I Were Sorry
Sweden,2017,F,344,5 (26),24,Robin Bengtsson,I Can't Go On
Sweden,2018,F,274,7 (26),20,Benjamin Ingrosso,Dance You Off
Sweden,2019,F,334,5 (26),9,John Lundvik,Too Late For Love
Sweden,2021,F,109,14 (26),25,Tusse,Voices
Sweden,2022,F,438,4 (25),20,Cornelia Jakobs,Hold Me Closer
Switzerland,1957,,5,8 (10),10,Lys Assia,L'enfant Que J'étais
Switzerland,1958,,24,2 (10),10,Lys Assia,Giorgio
Switzerland,1959,,14,4 (11),8,Christa Williams,Irgendwoher
Switzerland,1960,,5,8 (13),9,Anita Traversi,Cielo E Terra
Switzerland,1961,,16,3 (16),10,Franca di Rienzo,Nous Aurons Demain
Switzerland,1962,,2,10 (16),11,Jean Philippe,Le Retour
Switzerland,1963,,40,2 (16),10,Esther Ofarim,T'en Va Pas
Switzerland,1964,,0,13 (16),14,Anita Traversi,I Miei Pensieri
Switzerland,1965,,8,8 (18),18,Yovanna,Non à Jamais Sans Toi
Switzerland,1966,,12,6 (18),12,Madeleine Pascal,Ne Vois-tu Pas?
Switzerland,1967,,0,17 (17),6,Géraldine,Quel Coeur Vas-tu Briser?
Switzerland,1968,,2,13 (17),6,Gianni Mascolo,Guardando Il Sole
Switzerland,1969,,13,5 (16),11,Paola del Medico,"Bonjour, Bonjour"
Switzerland,1970,,8,4 (12),2,Henri Dès,Retour
Switzerland,1971,,78,12 (18),4,"Peter, Sue and Marc",Les Illusions De Nos Vingt Ans
Switzerland,1972,,88,8 (18),8,Véronique Müller,C'est La Chanson De Mon Amour
Switzerland,1973,,79,12 (17),8,Patrick Juvet,"Je Me Vais Marier, Marie"
Switzerland,1974,,3,14 (17),15,Piera Martell,Mein Ruf Nach Dir
Switzerland,1975,,77,6 (19),7,Simone Drexel,Mikado
Switzerland,1976,,91,4 (18),2,"Peter, Sue and Marc","Djambo, Djambo"
Switzerland,1977,,71,6 (18),12,Pepe Lienhard Band,Swiss Lady
Switzerland,1978,,65,9 (20),9,Carole Vinci,Vivre
Switzerland,1979,,60,10 (19),8,"Peter, Sue and Marc and Pfuri, Gorps and Kniri",Trödler Und Co.
Switzerland,1980,,104,4 (19),9,Paola,Cinéma
Switzerland,1981,,121,4 (20),19,"Peter, Sue and Marc",Io Senza Tei
Switzerland,1982,,97,3 (18),7,Arlette Zola,Amour On T'aime
Switzerland,1983,,28,15 (20),8,Mariella Farré,Io Così Non Ci Sto
Switzerland,1984,,30,16 (19),17,Rainy Day,Welche Farbe Hat Der Sonnenschein
Switzerland,1985,,39,12 (19),15,Mariella Farré and Pino Gasparini,Piano Piano
Switzerland,1986,,140,2 (20),10,Daniela Simons,Pas Pour Moi
Switzerland,1987,,26,17 (22),22,Carole Rich,Moitié Moitié
Switzerland,1988,,137,1 (21),9,Céline Dion,Ne Partez Pas Sans Moi
Switzerland,1989,,47,13 (22),18,Furbaz,Viver Senza Tei
Switzerland,1990,,51,11 (22),12,Egon Egemann,Musik Klingt In Die Welt Hinaus
Switzerland,1991,,118,5 (22),5,Sandra Simò,Canzone Per Te
Switzerland,1992,,32,15 (23),13,Daisy Auvray,Mister Music Man
Switzerland,1993,,148,3 (25),4,Annie Cotton,"Moi, Tout Simplement"
Switzerland,1994,,15,19 (25),9,Duilio,Sto Pregando
Switzerland,1996,,22,16 (23),9,Cathy Leander,Mon Coeur L'aime
Switzerland,1997,,5,22 (25),7,Barbara Berta,Dentro Di Me
Switzerland,1998,,0,25 (25),5,Gunvor,Lass Ihn
Switzerland,2000,,14,20 (24),16,Jane Bogaert,La Vita Cos'è?
Switzerland,2002,,15,22 (24),11,Francine Jordi,Dans Le Jardin De Mon Âme
Switzerland,2005,F,128,8 (24),22,Vanilla Ninja,Cool Vibes
Switzerland,2006,F,30,16 (24),1,Six4One,If We All Give A Little
Switzerland,2011,F,19,25 (25),13,Anna Rossinelli,In Love For A While
Switzerland,2014,F,64,13 (26),20,Sebalter,Hunter Of Stars
Switzerland,2019,F,364,4 (26),24,Luca Hänni,She Got Me
Switzerland,2021,F,432,3 (26),11,Gjon's Tears,Tout l'Univers
Switzerland,2022,F,78,17 (25),5,Marius Bear,Boys Do Cry
Turkey,1975,,3,19 (19),13,Semiha Yanki,Seninle Bir Dakika
Turkey,1978,,2,18 (20),12,Nazar,Sevinçe
Turkey,1980,,23,15 (19),2,Ajda Pekkan,Petr'oil
Turkey,1981,,9,18 (20),2,Modern Folk Trio and Aysegül,Dönme Dolap
Turkey,1982,,20,15 (18),5,Neço,Hani
Turkey,1983,,0,19 (20),6,Çetin Alp and the Short Wave,Opera
Turkey,1984,,37,12 (19),15,"Bes Yil Önce, On Yil Sonra",Halay
Turkey,1985,,36,14 (19),7,MFÖ,Di Dai Di Dai Dai (a'sik Oldum)
Turkey,1986,,53,9 (20),8,Klips ve Onlar,Halley
Turkey,1987,,0,22 (22),10,Seyyal Tanner and Lokomotif,Sarkim Sevgi üstüne
Turkey,1988,,37,15 (21),5,MFÖ,Sufi (hey Ya Hey)
Turkey,1989,,5,21 (22),5,Pan,Bana Bana
Turkey,1990,,21,17 (22),4,Kayahan,Gözlerinin Hapsindeyim
Turkey,1991,,44,12 (22),10,"Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér",Iki Dakika
Turkey,1992,,17,19 (23),4,Aylin Vatankos,Yaz Bitti
Turkey,1993,,10,21 (25),2,"Burak Aydos, Öztürk Baybora & Serter",Esmer Yarim
Turkey,1995,,21,16 (23),10,Arzu Ece,Sev!
Turkey,1996,,57,12 (23),1,Sebnem Paker,Besinçi Mevsim
Turkey,1997,,121,3 (25),2,Sebnem Paker and Group Etnic,Dinle
Turkey,1998,,25,14 (25),24,Tüzmen,Unutamazsin
Turkey,1999,,21,16 (23),7,Tuba Önal & Grup Mystik,Dön Artik
Turkey,2000,,59,10 (24),22,Pinar Ayhan & S.O.S. band,Yorgunum Anla
Turkey,2001,,41,11 (23),15,Sedat Yüce,Sevgiliye Son
Turkey,2002,,29,16 (24),19,Buket Bengisu & Saphire,Leylaklar Soldu Kalbinde
Turkey,2003,,167,1 (26),4,Sertab Erener,Everyway That I Can
Turkey,2004,F,195,4 (24),22,Athena,For Real
Turkey,2005,F,92,13 (24),6,Gülseren,Rimi Rimi Ley
Turkey,2006,F,91,11 (24),23,Sibel Tüzün,Superstar
Turkey,2007,F,163,4 (24),22,Kenan Dogulu,Shake It Up Shekerim
Turkey,2008,F,138,7 (25),12,Mor ve Ötesi,Deli
Turkey,2009,F,177,4 (25),18,Hadise,Düm Tek Tek
Turkey,2010,F,170,2 (25),14,maNga,We Could Be The Same
Turkey,2012,F,112,7 (26),18,Can Bonomo,Love Me Back
Ukraine,2003,,30,14 (26),16,Olexandr,Hasta La Vista
Ukraine,2004,F,280,1 (24),10,Ruslana,Wild Dances
Ukraine,2005,F,30,19 (24),16,Greenjolly,Razom Nas Bahato
Ukraine,2006,F,145,7 (24),18,Tina Karol,Show Me Your Love
Ukraine,2007,F,235,2 (24),18,Verka Serduchka,Dancing Lasha Tumbai
Ukraine,2008,F,230,2 (25),18,Ani Lorak,Shady Lady
Ukraine,2009,F,76,12 (25),21,Svetlana Loboda,Be my Valentine! (Anti-crisis Girl)
Ukraine,2010,F,108,10 (25),17,Alyosha,Sweet People
Ukraine,2011,F,159,4 (25),23,Mika Newton,Angel
Ukraine,2012,F,65,15 (26),25,Gaitana,Be My Guest
Ukraine,2013,F,214,3 (26),22,Zlata Ognevich,Gravity
Ukraine,2014,F,113,6 (26),1,Mariya Yaremchuk,Tick - Tock
Ukraine,2016,F,534,1 (26),21,Jamala,1944
Ukraine,2017,F,36,24 (26),22,O.Torvald,Time
Ukraine,2018,F,130,17 (26),1,MELOVIN,Under The Ladder
Ukraine,2021,F,364,5 (26),19,Go_A,Shum
Ukraine,2022,F,631,1 (25),12,Kalush Orchestra,Stefania
United Kingdom,1957,,6,7 (10),3,Patricia Bredin,All
United Kingdom,1959,,16,2 (11),10,Pearl Carr and Teddy Johnson,Sing Little Birdie
United Kingdom,1960,,25,2 (13),1,Bryan Johnson,"Looking High, High, High"
United Kingdom,1961,,24,2 (16),15,The Allisons,Are You Sure?
United Kingdom,1962,,10,4 (16),13,Ronnie Carroll,Ring-a-ding Girl
United Kingdom,1963,,28,4 (16),1,Ronnie Carroll,Say Wonderful Things
United Kingdom,1964,,17,2 (16),8,Matt Monro,I Love The Little Things
United Kingdom,1965,,26,2 (18),2,Kathy Kirby,I Belong
United Kingdom,1966,,8,9 (18),18,Kenneth McKellar,A Man Without Love
United Kingdom,1967,,47,1 (17),11,Sandie Shaw,Puppet On A String
United Kingdom,1968,,28,2 (17),12,Cliff Richard,Congratulations
United Kingdom,1969,,18,1 (16),7,Lulu,Boom Bang-a-bang
United Kingdom,1970,,26,2 (12),7,Mary Hopkin,"Knock, Knock (who's There?)"
United Kingdom,1971,,98,4 (18),9,Clodagh Rodgers,Jack In The Box
United Kingdom,1972,,114,2 (18),5,The New Seekers,"Beg, Steal Or Borrow"
United Kingdom,1973,,123,3 (17),15,Cliff Richard,Power To All Our Friends
United Kingdom,1974,,14,4 (17),2,Olivia Newton-John,Long Live Love
United Kingdom,1975,,138,2 (19),9,The Shadows,Let Me Be The One
United Kingdom,1976,,164,1 (18),1,Brotherhood of Man,Save Your Kisses For Me
United Kingdom,1977,,121,2 (18),9,Lynsey de Paul and Mike Moran,Rock Bottom
United Kingdom,1978,,61,11 (20),8,Co-Co,The Bad Old Days
United Kingdom,1979,,73,7 (19),17,Black Lace,Mary Ann
United Kingdom,1980,,106,3 (19),13,Prima Donna,Love Enough For Two
United Kingdom,1981,,136,1 (20),14,Bucks Fizz,Making Your Mind Up
United Kingdom,1982,,76,7 (18),4,Bardo,One Step Further
United Kingdom,1983,,79,6 (20),3,Sweet Dreams,I'm Never Giving Up
United Kingdom,1984,,63,7 (19),6,Belle and the Devotions,Love Games
United Kingdom,1985,,100,4 (19),14,Vikki,Love Is...
United Kingdom,1986,,72,7 (20),5,Ryder,Runner In The Night
United Kingdom,1987,,47,13 (22),14,Rikki,Only The Light
United Kingdom,1988,,136,2 (21),4,Scott Fitzgerald,Go
United Kingdom,1989,,130,2 (22),7,Live Report,Why Do I Always Get It Wrong
United Kingdom,1990,,87,6 (22),7,Emma,Give A Little Love Back To The World
United Kingdom,1991,,47,10 (22),20,Samantha Janus,A Message To Your Heart
United Kingdom,1992,,139,2 (23),16,Michael Ball,One Step Out Of Time
United Kingdom,1993,,164,2 (25),19,Sonia,Better The Devil You Know
United Kingdom,1994,,63,10 (25),6,Frances Ruffelle,We Will Be Free (lonely Symphony)
United Kingdom,1995,,76,10 (23),15,Love City Groove,Love City Groove
United Kingdom,1996,,77,8 (23),2,Gina G,Just A Little Bit
United Kingdom,1997,,227,1 (25),24,Katrina and The Waves,Love Shine A Light
United Kingdom,1998,,166,2 (25),16,Imaani,Where Are You?
United Kingdom,1999,,38,12 (23),5,Precious,Say It Again
United Kingdom,2000,,28,16 (24),3,Nicki French,Don't Play That Song Again
United Kingdom,2001,,28,15 (23),16,Lindsay D.,No Dream Impossible
United Kingdom,2002,,111,3 (24),2,Jessica Garlick,Come Back
United Kingdom,2003,,0,26 (26),15,Jemini,Cry Baby
United Kingdom,2004,F,29,16 (24),20,James Fox,Hold On To Our Love
United Kingdom,2005,F,18,22 (24),2,Javine,Touch My Fire
United Kingdom,2006,F,25,19 (24),15,Daz Sampson,Teenage Life
United Kingdom,2007,F,19,22 (24),19,Scooch,Flying The Flag (for You)
United Kingdom,2008,F,14,25 (25),2,Andy Abraham,Even IF
United Kingdom,2009,F,173,5 (25),23,Jade Ewen,It's My Time
United Kingdom,2010,F,10,25 (25),12,Josh,That Sounds Good To Me
United Kingdom,2011,F,100,11 (25),14,Blue,I Can
United Kingdom,2012,F,12,25 (26),1,Engelbert Humperdinck,Love Will Set You Free
United Kingdom,2013,F,23,19 (26),15,Bonnie Tyler,Believe In Me
United Kingdom,2014,F,40,17 (26),26,Molly,Children of the Universe
United Kingdom,2015,F,5,24 (27),5,Electro Velvet,Still In Love With You
United Kingdom,2016,F,62,24 (26),25,Joe and Jake,You're Not Alone
United Kingdom,2017,F,111,15 (26),18,Lucie Jones,Never Give Up On You
United Kingdom,2018,F,48,24 (26),9,SuRie,Storm
United Kingdom,2019,F,11,26 (26),16,Michael Rice,Bigger Than Us
United Kingdom,2021,F,0,26 (26),9,James Newman,Embers
United Kingdom,2022,F,466,2 (25),22,Sam Ryder,SPACE MAN
Yugoslavia,1961,,9,8 (16),5,Ljiljana Petrovic,Neke Davne Zvezde
Yugoslavia,1962,,10,4 (16),12,Lola Novakovic,Ne Pali Svetlo U Sumrak
Yugoslavia,1963,,3,11 (16),9,Vice Vukov,Brodovi
Yugoslavia,1964,,0,13 (16),13,Sabahudin Kurt,Zivot Je Sklopio Krug
Yugoslavia,1965,,2,12 (18),17,Vice Vukov,Ceznja
Yugoslavia,1966,,9,7 (18),5,Berta Ambroz,Brez Besed
Yugoslavia,1967,,7,8 (17),15,Lado Leskovar,Vse Roze Sveta
Yugoslavia,1968,,8,7 (17),17,Luci Kapurso and Hamo Hajdarhodzic,Jedan Dan
Yugoslavia,1969,,5,13 (16),1,Ivan,Pozdrav Svijetu
Yugoslavia,1970,,4,11 (12),4,Eva Sršen,"Pridi, Dala Ti Bom Cvet"
Yugoslavia,1971,,68,14 (18),16,Krunoslav Slabinac,Tvoj Djecak Je Tuzan
Yugoslavia,1972,,87,9 (18),13,Tereza,Muzika I Ti
Yugoslavia,1973,,65,15 (17),9,Zdravko Colic,Gori Vatra
Yugoslavia,1974,,6,12 (17),7,Korni,Generacija 42
Yugoslavia,1975,,22,13 (19),8,Pepel In Kri,Dan Ljubezni
Yugoslavia,1976,,10,17 (18),18,Ambasadori,Ne Mogu Skriti Svoju Bol
Yugoslavia,1981,,35,15 (20),7,Seid-Memic Vajta,Leila
Yugoslavia,1982,,21,14 (18),14,Aska,Halo Halo
Yugoslavia,1983,,125,4 (20),12,Danijel,Dzuli
Yugoslavia,1984,,26,18 (19),12,Vlado and Isolda,Ciao Amore
Yugoslavia,1986,,49,11 (20),2,Doris Dragovic,Zeljo Moja
Yugoslavia,1987,,92,4 (22),21,Novi Fosili,Ja Sam Za Ples
Yugoslavia,1988,,87,6 (21),21,Srebrna Krila,Mangup
Yugoslavia,1989,,137,1 (22),22,Riva,Rock Me
Yugoslavia,1990,,81,7 (22),15,Tajci,Hajde Da Ludujemo
Yugoslavia,1991,,1,21 (22),1,Baby Doll,Brazil
Yugoslavia,1992,,44,13 (23),20,Extra Nena,Ljubim Te Pesmama
